params,main,interactions,driver,value,n
tillfac_FT,NA,NA,location_name,"Ellerslie,Harrow",100
tillfac_RT,NA,NA,location_name,"Ellerslie,Harrow",100
wfac_irri,NA,NA,location_name,"Ellerslie,Harrow",100
k10,NA,NA,location_name,"Ellerslie,Harrow",100
k20,NA,NA,location_name,"Ellerslie,Harrow",100
k30,NA,NA,location_name,"Ellerslie,Harrow",100
k40,NA,NA,location_name,"Ellerslie,Harrow",100
k50,NA,NA,location_name,"Ellerslie,Harrow",100
f1,NA,NA,location_name,"Ellerslie,Harrow",100
f2,NA,NA,location_name,"Ellerslie,Harrow",100
f3,NA,NA,location_name,"Ellerslie,Harrow",100
f5,NA,NA,location_name,"Ellerslie,Harrow",100
f6,NA,NA,location_name,"Ellerslie,Harrow",100
f7,NA,NA,location_name,"Ellerslie,Harrow",100
f8,NA,NA,location_name,"Ellerslie,Harrow",100
tmax,NA,NA,location_name,"Ellerslie,Harrow",100
topt,NA,NA,location_name,"Ellerslie,Harrow",100
plig,NA,NA,location_name,"Ellerslie,Harrow",100
