parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.1599472092401993,0.28009411699167686,0.41359068115998526,0.5389058005277184,0.6516894079586782,0.46771692045866253,0.40813638462626844,location_name,"Ellerslie,Harrow",4,3
f2,0.09422905572367893,0.18641366177037708,0.2888410018222639,0.3790781910731748,0.4602916613989947,0.3506663894555368,0.28071423462161327,location_name,"Ellerslie,Harrow",4,3
f3,0.23422449385368968,0.3396664491068805,0.45682417716598145,0.5873949787201127,0.704908700118831,0.3801435871271149,0.4657662261626684,location_name,"Ellerslie,Harrow",4,3
f5,0.04271362817558693,0.052615455372433645,0.06361748559115221,0.06830081232939847,0.0725158063938201,0.0681452428516779,0.05940501660417067,location_name,"Ellerslie,Harrow",4,3
f6,0.024983135119371586,0.0532991942355875,0.08476148214249407,0.10975537453836297,0.13224987769464497,0.10576538346619271,0.08044921846846895,location_name,"Ellerslie,Harrow",4,3
f7,0.41144773046469785,0.41745022766757756,0.42411966900411063,0.4378759618884651,0.45025662548438417,0.4177098309360441,0.42884423670265825,location_name,"Ellerslie,Harrow",4,3
f8,0.43919140561574027,0.4546802968761767,0.4718901760544395,0.47770135740749536,0.48293142062524563,0.47758978885404463,0.4642910441709682,location_name,"Ellerslie,Harrow",4,3
k10,17.513876626058483,17.82975814838428,18.180737617635167,18.478335790269192,18.746174145639813,18.40974076767701,18.14515008655726,location_name,"Ellerslie,Harrow",4,3
k20,4.8245349915981635,4.934389523171703,5.056450113808969,5.138843464289676,5.212997479722311,5.133028959611182,5.0300052870379295,location_name,"Ellerslie,Harrow",4,3
k30,6.843192119654502,7.038392053283752,7.255280868427363,7.606637751061935,7.922858945433052,7.055019527229707,7.34492624675467,location_name,"Ellerslie,Harrow",4,3
k40,0.11441479599686573,0.14016097297752278,0.16876783628936393,0.20720065576018531,0.24179019328392462,0.14391106859369474,0.1753184737286841,location_name,"Ellerslie,Harrow",4,3
k50,0.006768371014783043,0.007550285261677345,0.008419078869337682,0.009061639311548788,0.009639943709538785,0.008990221984106005,0.008268256759038195,location_name,"Ellerslie,Harrow",4,3
plig,2.3725395802699496,2.626140743668657,2.907919814111665,3.3747555734589696,3.794907756871544,2.6443301296778325,3.0312909400478625,location_name,"Ellerslie,Harrow",4,3
tillfac_FT,1.4808863733836914,2.0546831157058474,2.6922350516193543,2.8384478215302806,2.9700393144501143,2.8392221300201275,2.3646756076176336,location_name,"Ellerslie,Harrow",4,3
tillfac_RT,1.100900063419249,1.4351643773261458,1.8065691705560312,2.3662913802545518,2.8700413689832205,1.4654770338065486,1.9321141148684546,location_name,"Ellerslie,Harrow",4,3
tmax,44.903695713714114,45.79652327587246,46.78855390049284,47.83149125284399,48.77013486996002,46.43294049423907,46.82249171898002,location_name,"Ellerslie,Harrow",4,3
topt,32.9139685961199,32.97682611213531,33.046667796596886,33.78853400727269,34.45621359688091,32.98276841808144,33.49468414740637,location_name,"Ellerslie,Harrow",4,3
wfac_irri,1,1,1,1,1,0.9957585083820888,1,location_name,"Ellerslie,Harrow",4,3
