params,main,interactions,driver,value,gsa_sample_n
f1,NA,NA,location_name,"Ellerslie,Harrow",3
f2,NA,NA,location_name,"Ellerslie,Harrow",3
f3,NA,NA,location_name,"Ellerslie,Harrow",3
f5,NA,NA,location_name,"Ellerslie,Harrow",3
f6,NA,NA,location_name,"Ellerslie,Harrow",3
f7,NA,NA,location_name,"Ellerslie,Harrow",3
f8,NA,NA,location_name,"Ellerslie,Harrow",3
k10,NA,NA,location_name,"Ellerslie,Harrow",3
k20,NA,NA,location_name,"Ellerslie,Harrow",3
k30,NA,NA,location_name,"Ellerslie,Harrow",3
k40,NA,NA,location_name,"Ellerslie,Harrow",3
k50,NA,NA,location_name,"Ellerslie,Harrow",3
plig,NA,NA,location_name,"Ellerslie,Harrow",3
tillfac_FT,NA,NA,location_name,"Ellerslie,Harrow",3
tillfac_RT,NA,NA,location_name,"Ellerslie,Harrow",3
tmax,NA,NA,location_name,"Ellerslie,Harrow",3
topt,NA,NA,location_name,"Ellerslie,Harrow",3
wfac_irri,NA,NA,location_name,"Ellerslie,Harrow",3
